Model,Production Year,Number of Engines,Engine Type,Capacity,Range (km),Fuel Consumption (L/hour),Hourly Maintenance Cost ($),Age,Sales Region,Price ($)
Airbus A320,2005,2,Turbofan,180,6300,3.27,2633.78,18,Asya,108071613.81
Airbus A320,2004,2,Turbofan,180,6300,8.16,2712.27,19,Asya,94713313.58
Boeing 777,1983,2,Turbofan,396,15600,7.02,4736.59,40,Asya,408752497.16
Cessna 172,1990,1,Piston,4,1285,10.93,4301.94,33,Asya,201106.59
Boeing 737,2018,2,Turbofan,162,5700,13.41,3330.24,5,Asya,123512626.17
Cessna 172,2018,1,Piston,4,1285,41.06,2174.08,5,Asya,389175.66
Boeing 777,1984,2,Turbofan,396,15600,11.78,3526.33,39,Asya,349306992.0
Airbus A320,2002,2,Turbofan,180,6300,11.9,1143.46,21,Asya,87977234.14
Bombardier CRJ200,2013,2,Turbofan,50,3000,14.31,4157.6,10,Asya,16600779.99
Boeing 777,1987,2,Turbofan,396,15600,13.78,2409.0,36,Asya,396824752.08
Airbus A350,1997,2,Turbofan,350,14800,9.2,832.08,26,Asya,372785335.86
Boeing 737,1987,2,Turbofan,162,5700,6.59,2586.64,36,Asya,58642290.01
Boeing 737,2007,2,Turbofan,162,5700,8.16,4535.55,16,Asya,77797895.08
Boeing 777,2007,2,Turbofan,396,15600,6.74,1428.5,16,Asya,484733311.98
Boeing 777,2022,2,Turbofan,396,15600,13.97,4431.1,1,Asya,795932931.6
Airbus A320,1989,2,Turbofan,180,6300,8.82,861.05,34,Asya,80480172.68
Bombardier CRJ200,1980,2,Turbofan,50,3000,7.53,1956.56,43,Asya,10109742.51
Airbus A350,2006,2,Turbofan,350,14800,8.93,3290.33,17,Asya,471048132.38
Airbus A350,2010,2,Turbofan,350,14800,9.41,650.9,13,Asya,577421569.66
Cessna 172,2022,1,Piston,4,1285,16.1,3682.57,1,Asya,428232.23
Boeing 737,2010,2,Turbofan,162,5700,6.51,2058.56,13,Asya,90766689.91
Bombardier CRJ200,2014,2,Turbofan,50,3000,7.88,1510.72,9,Asya,23108163.33
Boeing 737,2021,2,Turbofan,162,5700,6.71,4616.81,2,Asya,121181128.84
Bombardier CRJ200,1992,2,Turbofan,50,3000,4.89,621.93,31,Asya,13610402.78
Boeing 777,1995,2,Turbofan,396,15600,2.29,2413.46,28,Asya,409818407.35
Boeing 777,2015,2,Turbofan,396,15600,13.89,1289.17,8,Asya,544977174.07
Cessna 172,1992,1,Piston,4,1285,11.88,2835.13,31,Asya,186356.66
Airbus A350,2008,2,Turbofan,350,14800,8.19,3048.82,15,Asya,576163451.64
Cessna 172,1998,1,Piston,4,1285,32.72,1312.59,25,Asya,218139.71
Boeing 777,1982,2,Turbofan,396,15600,12.78,1935.95,41,Asya,398763846.97
Bombardier CRJ200,2023,2,Turbofan,50,3000,6.56,4990.7,0,Asya,22900748.39
Cessna 172,2019,1,Piston,4,1285,48.0,1482.14,4,Asya,431915.17
Boeing 737,1990,2,Turbofan,162,5700,6.55,4008.13,33,Asya,59934682.48
Boeing 777,1989,2,Turbofan,396,15600,4.86,864.71,34,Asya,468928975.1
Boeing 737,2018,2,Turbofan,162,5700,11.79,3283.75,5,Asya,112318556.86
Boeing 777,1981,2,Turbofan,396,15600,12.63,1223.42,42,Asya,398723638.97
Boeing 777,2016,2,Turbofan,396,15600,9.02,3353.03,7,Asya,734870703.44
Bombardier CRJ200,2011,2,Turbofan,50,3000,11.21,1854.34,12,Asya,18710232.77
Boeing 737,2009,2,Turbofan,162,5700,7.8,3574.83,14,Asya,90781164.94
Airbus A350,2006,2,Turbofan,350,14800,5.55,3445.3,17,Asya,463735696.84
Airbus A350,1987,2,Turbofan,350,14800,8.15,4389.61,36,Asya,426070238.42
Boeing 737,2009,2,Turbofan,162,5700,3.63,1027.89,14,Asya,85200995.59
Cessna 172,1988,1,Piston,4,1285,49.47,1589.2,35,Asya,212681.8
Cessna 172,1997,1,Piston,4,1285,10.39,3018.42,26,Asya,232450.75
Boeing 737,2008,2,Turbofan,162,5700,8.48,3464.18,15,Asya,83746656.77
Cessna 172,2009,1,Piston,4,1285,38.77,2999.14,14,Asya,308899.5
Bombardier CRJ200,1989,2,Turbofan,50,3000,2.4,824.89,34,Asya,11764217.83
Boeing 737,2019,2,Turbofan,162,5700,7.48,4553.16,4,Asya,124382800.41
Boeing 737,2007,2,Turbofan,162,5700,13.82,3721.21,16,Asya,89721217.34
Airbus A320,1999,2,Turbofan,180,6300,13.32,1612.54,24,Asya,91052472.45
Boeing 737,2000,2,Turbofan,162,5700,8.69,2503.87,23,Asya,76409741.39
Boeing 777,2022,2,Turbofan,396,15600,13.29,3134.09,1,Asya,759072292.02
Cessna 172,1990,1,Piston,4,1285,47.46,2890.26,33,Asya,229358.02
Airbus A350,1997,2,Turbofan,350,14800,10.03,2737.29,26,Asya,385904600.31
Boeing 777,1988,2,Turbofan,396,15600,6.76,1960.64,35,Asya,460975259.86
Boeing 777,2001,2,Turbofan,396,15600,7.18,2210.88,22,Asya,490824585.49
Airbus A320,2010,2,Turbofan,180,6300,8.83,1316.47,13,Asya,108999753.4
Airbus A350,1987,2,Turbofan,350,14800,5.57,4012.36,36,Asya,346518496.19
Boeing 777,1992,2,Turbofan,396,15600,6.61,1519.95,31,Asya,357236020.72
Cessna 172,1981,1,Piston,4,1285,22.97,2898.31,42,Asya,239936.86
Cessna 172,1993,1,Piston,4,1285,39.23,3010.03,30,Asya,198635.2
Airbus A320,2018,2,Turbofan,180,6300,7.85,935.04,5,Asya,121109153.47
Boeing 737,2022,2,Turbofan,162,5700,3.98,2296.92,1,Asya,139469698.9
Airbus A350,2013,2,Turbofan,350,14800,14.18,894.39,10,Asya,516404000.97
Airbus A350,1984,2,Turbofan,350,14800,11.94,3228.14,39,Asya,402763288.63
Bombardier CRJ200,2010,2,Turbofan,50,3000,11.54,4223.92,13,Asya,16840718.26
Boeing 737,1985,2,Turbofan,162,5700,5.38,586.37,38,Asya,47017041.87
Airbus A350,1994,2,Turbofan,350,14800,12.93,1646.02,29,Asya,452636644.34
Bombardier CRJ200,2015,2,Turbofan,50,3000,2.16,820.66,8,Asya,20660642.47
Bombardier CRJ200,2020,2,Turbofan,50,3000,3.58,1425.59,3,Asya,25716133.52
Cessna 172,1985,1,Piston,4,1285,23.53,1076.43,38,Asya,236621.03
Boeing 737,2023,2,Turbofan,162,5700,9.97,2477.32,0,Asya,101962560.32
Airbus A320,2012,2,Turbofan,180,6300,7.99,3897.69,11,Asya,125697266.0
Boeing 777,2007,2,Turbofan,396,15600,11.47,4288.99,16,Asya,576552533.65
Bombardier CRJ200,1999,2,Turbofan,50,3000,4.78,4180.03,24,Asya,11740026.01
Boeing 737,2007,2,Turbofan,162,5700,3.94,1971.19,16,Asya,92539754.63
Boeing 777,1990,2,Turbofan,396,15600,8.72,4048.77,33,Asya,352189432.87
Cessna 172,2020,1,Piston,4,1285,27.36,1976.87,3,Asya,393978.2
Airbus A320,2021,2,Turbofan,180,6300,6.71,1330.14,2,Asya,173671367.93
Airbus A320,2008,2,Turbofan,180,6300,11.48,2465.83,15,Asya,129147709.81
Airbus A350,1982,2,Turbofan,350,14800,5.24,4578.15,41,Asya,406330763.05
Boeing 777,1998,2,Turbofan,396,15600,12.1,2523.83,25,Asya,365647947.02
Cessna 172,1989,1,Piston,4,1285,48.88,2587.7,34,Asya,179185.81
Bombardier CRJ200,1991,2,Turbofan,50,3000,3.49,2855.26,32,Asya,13461979.6
Airbus A320,2001,2,Turbofan,180,6300,7.87,1574.58,22,Asya,95514690.07
Airbus A320,1989,2,Turbofan,180,6300,4.16,3356.02,34,Asya,76894371.63
Cessna 172,2013,1,Piston,4,1285,31.1,3018.9,10,Asya,361741.19
Bombardier CRJ200,2008,2,Turbofan,50,3000,12.77,2723.96,15,Asya,15877476.93
Boeing 737,2013,2,Turbofan,162,5700,10.64,4048.01,10,Asya,105696676.68
Airbus A320,2007,2,Turbofan,180,6300,6.95,2959.92,16,Asya,105287844.83
Boeing 737,2006,2,Turbofan,162,5700,13.93,3829.57,17,Asya,83008468.33
Airbus A320,2004,2,Turbofan,180,6300,12.46,3892.83,19,Asya,94645505.01
Boeing 777,1994,2,Turbofan,396,15600,14.52,581.03,29,Asya,360389553.25
Boeing 737,1985,2,Turbofan,162,5700,2.63,3844.37,38,Asya,69490350.85
Airbus A320,1999,2,Turbofan,180,6300,3.49,3195.4,24,Asya,89442684.78
Cessna 172,2014,1,Piston,4,1285,27.74,4516.35,9,Asya,406975.86
Boeing 777,1988,2,Turbofan,396,15600,3.71,4967.68,35,Asya,369415907.09
Airbus A320,1988,2,Turbofan,180,6300,2.02,4195.39,35,Asya,74575542.54
Bombardier CRJ200,2009,2,Turbofan,50,3000,2.77,1659.23,14,Asya,17643243.69
Boeing 777,1992,2,Turbofan,396,15600,10.93,3217.08,31,Asya,386904537.02
Boeing 777,2002,2,Turbofan,396,15600,2.13,3171.47,21,Asya,526265044.42
Cessna 172,1997,1,Piston,4,1285,32.35,1053.51,26,Asya,215685.51
Bombardier CRJ200,2007,2,Turbofan,50,3000,11.48,2044.25,16,Asya,18014042.61
Bombardier CRJ200,2008,2,Turbofan,50,3000,3.83,3597.23,15,Asya,16103974.58
Airbus A350,2016,2,Turbofan,350,14800,2.3,1220.11,7,Asya,616689451.6
Boeing 777,1995,2,Turbofan,396,15600,4.0,2936.33,28,Asya,352782688.83
Airbus A350,1992,2,Turbofan,350,14800,10.14,2498.2,31,Asya,381224055.51
Airbus A320,2008,2,Turbofan,180,6300,4.62,3292.97,15,Asya,131189277.96
Airbus A320,2011,2,Turbofan,180,6300,14.75,2582.04,12,Asya,132520706.73
Airbus A320,2019,2,Turbofan,180,6300,8.4,2800.74,4,Asya,164001157.25
Cessna 172,1982,1,Piston,4,1285,21.24,1545.73,41,Asya,197401.86
Cessna 172,2020,1,Piston,4,1285,35.91,2110.16,3,Asya,412902.49
Airbus A350,1981,2,Turbofan,350,14800,6.68,716.84,42,Asya,372336156.78
Boeing 777,1983,2,Turbofan,396,15600,7.41,3954.05,40,Asya,391705338.26
Boeing 777,2014,2,Turbofan,396,15600,10.81,1470.83,9,Asya,550722388.88
Boeing 737,1982,2,Turbofan,162,5700,5.81,578.99,41,Asya,64106102.25
Bombardier CRJ200,2020,2,Turbofan,50,3000,10.76,2246.75,3,Asya,25289252.33
Boeing 737,1992,2,Turbofan,162,5700,4.15,697.55,31,Asya,73190853.1
Boeing 777,2010,2,Turbofan,396,15600,13.39,1182.18,13,Asya,658589061.44
Bombardier CRJ200,1988,2,Turbofan,50,3000,5.67,2925.93,35,Asya,11466202.85
Airbus A350,1991,2,Turbofan,350,14800,13.73,2169.23,32,Asya,350070209.56
Bombardier CRJ200,1998,2,Turbofan,50,3000,9.08,853.05,25,Asya,11072238.38
Boeing 777,1992,2,Turbofan,396,15600,11.06,4223.78,31,Asya,384831670.89
Bombardier CRJ200,1991,2,Turbofan,50,3000,6.49,1378.58,32,Asya,11329666.78
Cessna 172,2016,1,Piston,4,1285,22.39,1207.73,7,Asya,393056.36
Bombardier CRJ200,1995,2,Turbofan,50,3000,10.12,1627.11,28,Asya,13538422.36
Cessna 172,2003,1,Piston,4,1285,38.18,3820.48,20,Asya,232740.49
Cessna 172,1987,1,Piston,4,1285,23.86,2402.28,36,Asya,181720.36
Airbus A320,2017,2,Turbofan,180,6300,5.29,3123.17,6,Asya,137315483.23
Airbus A350,2004,2,Turbofan,350,14800,3.19,3713.24,19,Asya,493514369.91
Bombardier CRJ200,1994,2,Turbofan,50,3000,12.9,4781.71,29,Asya,12678369.77
Bombardier CRJ200,1987,2,Turbofan,50,3000,10.66,4529.06,36,Asya,11796228.85
Airbus A320,2009,2,Turbofan,180,6300,4.89,974.05,14,Asya,98638701.91
Cessna 172,1982,1,Piston,4,1285,18.25,3614.33,41,Asya,232046.62
Airbus A320,1989,2,Turbofan,180,6300,8.04,2163.08,34,Asya,85390336.97
Boeing 737,2013,2,Turbofan,162,5700,11.31,2632.65,10,Asya,92929061.44
Boeing 737,2022,2,Turbofan,162,5700,5.14,1912.22,1,Asya,116270310.22
Bombardier CRJ200,1994,2,Turbofan,50,3000,3.0,1345.64,29,Asya,13164499.69
Bombardier CRJ200,1989,2,Turbofan,50,3000,6.98,3632.7,34,Asya,12691781.45
Cessna 172,2006,1,Piston,4,1285,41.12,4167.23,17,Asya,262430.9
Bombardier CRJ200,1982,2,Turbofan,50,3000,2.19,1544.08,41,Asya,10490495.32
Cessna 172,2010,1,Piston,4,1285,34.98,3035.28,13,Asya,350783.39
Boeing 777,1982,2,Turbofan,396,15600,10.77,2546.44,41,Asya,355480667.44
Cessna 172,2022,1,Piston,4,1285,37.64,2751.62,1,Asya,461220.35
Airbus A320,2000,2,Turbofan,180,6300,4.03,1738.8,23,Asya,95982590.84
Bombardier CRJ200,2005,2,Turbofan,50,3000,10.68,2548.27,18,Asya,14096158.94
Bombardier CRJ200,2002,2,Turbofan,50,3000,2.68,2097.16,21,Asya,16210328.73
Boeing 737,1985,2,Turbofan,162,5700,5.89,1968.14,38,Asya,60367948.66
Cessna 172,2006,1,Piston,4,1285,32.54,1860.89,17,Asya,258152.88
Airbus A350,1989,2,Turbofan,350,14800,8.4,3837.39,34,Asya,319998963.44
Airbus A350,2014,2,Turbofan,350,14800,6.94,1280.73,9,Asya,583121317.19
Bombardier CRJ200,1985,2,Turbofan,50,3000,5.08,3977.47,38,Asya,12902750.59
Boeing 737,1980,2,Turbofan,162,5700,10.82,3251.59,43,Asya,68975356.14
Boeing 737,1999,2,Turbofan,162,5700,4.48,1722.35,24,Asya,58696785.47
Bombardier CRJ200,1987,2,Turbofan,50,3000,6.45,1330.85,36,Asya,13551872.8
Boeing 777,2021,2,Turbofan,396,15600,11.55,1039.51,2,Asya,743595352.4
Airbus A350,2019,2,Turbofan,350,14800,4.36,2278.67,4,Asya,699064283.23
Boeing 737,2016,2,Turbofan,162,5700,8.91,3885.79,7,Asya,101149618.56
Airbus A320,1998,2,Turbofan,180,6300,12.72,3791.73,25,Asya,92607337.76
Boeing 777,2014,2,Turbofan,396,15600,6.5,3777.67,9,Asya,679392446.41
Airbus A320,2007,2,Turbofan,180,6300,5.46,4024.84,16,Asya,112750338.93
Boeing 777,2002,2,Turbofan,396,15600,4.36,4723.38,21,Asya,401554851.06
Airbus A350,2008,2,Turbofan,350,14800,7.13,2004.81,15,Asya,501705758.93
Boeing 777,2017,2,Turbofan,396,15600,2.74,3558.64,6,Asya,577159352.27
Bombardier CRJ200,2002,2,Turbofan,50,3000,13.64,4487.39,21,Asya,12603194.62
Boeing 777,2023,2,Turbofan,396,15600,14.85,1202.91,0,Asya,866165862.81
Airbus A350,1981,2,Turbofan,350,14800,10.05,2604.57,42,Asya,315164418.77
Bombardier CRJ200,2008,2,Turbofan,50,3000,6.44,3803.68,15,Asya,18222489.49
Boeing 737,2001,2,Turbofan,162,5700,8.05,1993.87,22,Asya,70797561.19
Boeing 737,1986,2,Turbofan,162,5700,10.63,1831.69,37,Asya,64631892.59
Airbus A320,1985,2,Turbofan,180,6300,6.21,3779.5,38,Asya,83575112.79
Boeing 737,2013,2,Turbofan,162,5700,9.52,1077.47,10,Asya,92012280.13
Airbus A320,2010,2,Turbofan,180,6300,4.55,4324.82,13,Asya,104205480.37
Boeing 737,2017,2,Turbofan,162,5700,14.53,1064.97,6,Asya,111087057.51
Airbus A350,2005,2,Turbofan,350,14800,5.28,3601.9,18,Asya,448482488.46
Boeing 737,1999,2,Turbofan,162,5700,4.47,2597.82,24,Asya,69316396.39
Bombardier CRJ200,2021,2,Turbofan,50,3000,7.9,3903.14,2,Asya,24758034.3
Boeing 737,2007,2,Turbofan,162,5700,8.58,2026.87,16,Asya,84875740.37
Airbus A320,1987,2,Turbofan,180,6300,2.8,3417.05,36,Asya,93666754.63
Boeing 777,1987,2,Turbofan,396,15600,9.5,4423.61,36,Asya,444914726.26
Cessna 172,2003,1,Piston,4,1285,47.58,862.77,20,Asya,269407.1
Bombardier CRJ200,2012,2,Turbofan,50,3000,14.17,3112.9,11,Asya,14067008.05
Boeing 777,2000,2,Turbofan,396,15600,10.66,1520.48,23,Asya,424599216.98
Cessna 172,2009,1,Piston,4,1285,17.38,1235.15,14,Asya,282958.78
Boeing 737,2001,2,Turbofan,162,5700,12.95,4756.87,22,Asya,67844199.0
Bombardier CRJ200,1999,2,Turbofan,50,3000,8.74,1054.78,24,Asya,11657571.12
Airbus A350,2011,2,Turbofan,350,14800,3.85,4770.41,12,Asya,621257723.19
Airbus A320,1997,2,Turbofan,180,6300,2.05,845.41,26,Asya,61860821.58
Bombardier CRJ200,2005,2,Turbofan,50,3000,3.26,1566.16,18,Asya,16222925.46
Cessna 172,2016,1,Piston,4,1285,31.88,3548.96,7,Asya,347889.96
Airbus A350,1996,2,Turbofan,350,14800,4.06,1098.54,27,Asya,432973051.89
Boeing 777,2018,2,Turbofan,396,15600,8.29,3511.49,5,Asya,631637255.64
Airbus A350,2012,2,Turbofan,350,14800,9.41,2990.62,11,Asya,620247913.92
Cessna 172,1995,1,Piston,4,1285,34.4,3807.61,28,Asya,189946.77
Boeing 737,1980,2,Turbofan,162,5700,8.68,3196.85,43,Asya,51782642.24
Bombardier CRJ200,2021,2,Turbofan,50,3000,10.13,911.4,2,Asya,20171896.78
Boeing 737,1981,2,Turbofan,162,5700,2.29,1383.32,42,Asya,63787564.14
Cessna 172,2010,1,Piston,4,1285,49.88,4692.83,13,Asya,285492.23
Bombardier CRJ200,2014,2,Turbofan,50,3000,10.77,2750.26,9,Asya,21351852.04
Boeing 737,1985,2,Turbofan,162,5700,13.2,4110.78,38,Asya,71028789.56
Cessna 172,1989,1,Piston,4,1285,38.82,1351.38,34,Asya,239969.89
Cessna 172,2003,1,Piston,4,1285,34.17,2800.01,20,Asya,289148.01
Bombardier CRJ200,2016,2,Turbofan,50,3000,10.43,4191.14,7,Asya,21979287.69
Boeing 777,2008,2,Turbofan,396,15600,2.88,1041.64,15,Asya,585628243.43
Airbus A320,2008,2,Turbofan,180,6300,3.27,4358.89,15,Asya,109898416.51
Boeing 737,1998,2,Turbofan,162,5700,6.49,3678.67,25,Asya,67677910.34
Boeing 777,1996,2,Turbofan,396,15600,12.76,2017.99,27,Asya,375597729.11
Boeing 737,2015,2,Turbofan,162,5700,5.79,2999.97,8,Asya,87090074.33
Airbus A350,1990,2,Turbofan,350,14800,12.18,1239.29,33,Asya,384095042.3
Airbus A320,1986,2,Turbofan,180,6300,8.65,559.53,37,Asya,76474977.24
Airbus A350,1989,2,Turbofan,350,14800,5.76,1778.83,34,Asya,380213085.49
Airbus A320,1986,2,Turbofan,180,6300,4.03,3404.9,37,Asya,84714337.1
Airbus A320,2008,2,Turbofan,180,6300,14.19,1157.09,15,Asya,115053979.5
Bombardier CRJ200,2022,2,Turbofan,50,3000,12.59,3184.1,1,Asya,22726100.04
Airbus A320,2015,2,Turbofan,180,6300,11.05,3204.25,8,Asya,146007010.42
Bombardier CRJ200,1984,2,Turbofan,50,3000,4.95,2592.66,39,Asya,12439302.76
Cessna 172,2009,1,Piston,4,1285,32.76,4592.97,14,Asya,302740.97
Cessna 172,2006,1,Piston,4,1285,24.53,4318.12,17,Asya,228263.81
Boeing 777,1995,2,Turbofan,396,15600,2.51,504.25,28,Asya,384206700.91
Airbus A350,2023,2,Turbofan,350,14800,9.46,4889.35,0,Asya,801288152.67
Boeing 737,2009,2,Turbofan,162,5700,9.81,3039.87,14,Asya,87752353.6
Airbus A350,2020,2,Turbofan,350,14800,10.67,1364.11,3,Asya,801259908.98
Boeing 737,2004,2,Turbofan,162,5700,6.37,2636.46,19,Asya,91621811.4
Boeing 737,2023,2,Turbofan,162,5700,8.56,1377.31,0,Asya,134957599.24
Airbus A320,2018,2,Turbofan,180,6300,2.69,664.07,5,Asya,143851902.2
Cessna 172,1986,1,Piston,4,1285,44.6,4865.34,37,Asya,247862.38
Boeing 777,2021,2,Turbofan,396,15600,5.58,4721.82,2,Asya,871790060.34
Boeing 737,2010,2,Turbofan,162,5700,7.65,4108.28,13,Asya,92038673.72
Airbus A320,2012,2,Turbofan,180,6300,11.65,2500.58,11,Asya,103534117.91
Boeing 777,2006,2,Turbofan,396,15600,6.61,1256.09,17,Asya,425617664.23
Bombardier CRJ200,1991,2,Turbofan,50,3000,2.1,2770.87,32,Asya,14074871.46
Airbus A350,1980,2,Turbofan,350,14800,12.74,1417.98,43,Asya,348122372.84
Cessna 172,1992,1,Piston,4,1285,15.16,1367.04,31,Asya,230665.41
Airbus A320,1984,2,Turbofan,180,6300,4.4,1768.21,39,Asya,74370610.81
Airbus A320,2005,2,Turbofan,180,6300,14.51,4671.08,18,Asya,84598142.65
Bombardier CRJ200,2021,2,Turbofan,50,3000,8.64,2478.03,2,Asya,21197474.64
Cessna 172,2019,1,Piston,4,1285,47.79,4849.51,4,Asya,424582.64
Boeing 737,2021,2,Turbofan,162,5700,14.33,4148.08,2,Asya,122396952.3
Airbus A350,2004,2,Turbofan,350,14800,11.01,2524.75,19,Asya,476651820.2
Boeing 737,2012,2,Turbofan,162,5700,7.02,721.83,11,Asya,85547672.59
Bombardier CRJ200,1987,2,Turbofan,50,3000,12.94,1449.36,36,Asya,12806269.53
Bombardier CRJ200,1990,2,Turbofan,50,3000,8.58,1700.58,33,Asya,12672357.08
Bombardier CRJ200,2000,2,Turbofan,50,3000,13.56,3106.91,23,Asya,15581833.64
Bombardier CRJ200,2019,2,Turbofan,50,3000,12.09,977.96,4,Asya,23808526.06
Cessna 172,1983,1,Piston,4,1285,21.71,2457.57,40,Asya,190362.62
Airbus A350,1995,2,Turbofan,350,14800,9.93,4743.42,28,Asya,318975783.98
Airbus A350,2000,2,Turbofan,350,14800,14.97,2034.33,23,Asya,365885659.79
Airbus A350,2021,2,Turbofan,350,14800,2.32,4688.03,2,Asya,645922061.59
Boeing 777,2003,2,Turbofan,396,15600,10.33,4678.5,20,Asya,489600087.79
Bombardier CRJ200,2008,2,Turbofan,50,3000,6.1,1706.64,15,Asya,17497300.85
Bombardier CRJ200,2006,2,Turbofan,50,3000,12.97,719.45,17,Asya,17023218.93
Bombardier CRJ200,2001,2,Turbofan,50,3000,2.64,578.74,22,Asya,13925090.65
Bombardier CRJ200,2017,2,Turbofan,50,3000,5.56,3183.56,6,Asya,18418835.62
Boeing 777,1989,2,Turbofan,396,15600,6.98,4595.88,34,Asya,356224694.87
Boeing 777,2015,2,Turbofan,396,15600,12.66,1713.34,8,Asya,724875171.76
Airbus A320,2023,2,Turbofan,180,6300,8.46,4679.44,0,Asya,141291914.99
Bombardier CRJ200,1989,2,Turbofan,50,3000,10.19,3219.37,34,Asya,10756239.03
Bombardier CRJ200,1980,2,Turbofan,50,3000,14.94,2114.34,43,Asya,9639063.4
Cessna 172,1995,1,Piston,4,1285,17.69,2715.65,28,Asya,248241.96
Cessna 172,1998,1,Piston,4,1285,31.72,3341.95,25,Asya,206963.47
Cessna 172,2014,1,Piston,4,1285,33.43,1784.32,9,Asya,367302.0
Bombardier CRJ200,2007,2,Turbofan,50,3000,6.3,853.82,16,Asya,16834712.2
Boeing 777,1982,2,Turbofan,396,15600,6.44,4845.24,41,Asya,435402909.77
Boeing 777,2015,2,Turbofan,396,15600,10.01,4055.37,8,Asya,676372720.88
Boeing 777,2018,2,Turbofan,396,15600,10.9,824.96,5,Asya,488755367.93
Airbus A350,2022,2,Turbofan,350,14800,4.24,3417.16,1,Asya,726100383.94
Airbus A320,1987,2,Turbofan,180,6300,3.29,4352.69,36,Asya,76512188.02
Bombardier CRJ200,2016,2,Turbofan,50,3000,7.12,2910.6,7,Asya,20809252.89
Bombardier CRJ200,1995,2,Turbofan,50,3000,7.99,1259.87,28,Asya,12662068.14
Boeing 777,2019,2,Turbofan,396,15600,6.64,2982.71,4,Asya,588942640.12
Airbus A350,1990,2,Turbofan,350,14800,11.39,2086.38,33,Asya,363092268.68
Boeing 777,2020,2,Turbofan,396,15600,3.01,2928.48,3,Asya,698592532.17
Bombardier CRJ200,1984,2,Turbofan,50,3000,3.33,581.13,39,Asya,12902849.62
Cessna 172,2020,1,Piston,4,1285,42.07,3368.31,3,Asya,396067.78
Cessna 172,1993,1,Piston,4,1285,29.49,2805.17,30,Asya,223945.41
Cessna 172,2012,1,Piston,4,1285,29.56,1645.99,11,Asya,288350.13
Boeing 777,1994,2,Turbofan,396,15600,10.45,4640.18,29,Asya,461572251.39
Airbus A350,1982,2,Turbofan,350,14800,3.6,2734.32,41,Asya,309450665.81
Bombardier CRJ200,2000,2,Turbofan,50,3000,12.44,3977.78,23,Asya,11580346.16
Bombardier CRJ200,2006,2,Turbofan,50,3000,4.53,4296.56,17,Asya,13811764.15
Airbus A350,1988,2,Turbofan,350,14800,11.68,1594.06,35,Asya,488215283.09
Airbus A320,2018,2,Turbofan,180,6300,12.72,3429.37,5,Asya,130693203.5
Cessna 172,1987,1,Piston,4,1285,32.77,668.88,36,Asya,208622.07
Cessna 172,2014,1,Piston,4,1285,36.94,4752.58,9,Asya,422042.57
Bombardier CRJ200,2016,2,Turbofan,50,3000,13.57,4855.39,7,Asya,21887275.56
Airbus A350,1994,2,Turbofan,350,14800,11.65,3007.63,29,Asya,346748954.7
Airbus A320,2022,2,Turbofan,180,6300,8.29,4859.67,1,Asya,189291287.74
